,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140108,Hold,48.824,0,0,0,10000,0.0,10000.0
20140109,Hold,48.296,0,0,0,10000,0.0,10000.0
20140110,Hold,47.304,0,0,0,10000,0.0,10000.0
20140113,Hold,48.777,0,0,0,10000,0.0,10000.0
20140114,Hold,47.857,0,0,0,10000,0.0,10000.0
20140115,Hold,46.916,0,0,0,10000,0.0,10000.0
20140116,Hold,47.437,0,0,0,10000,0.0,10000.0
20140117,Hold,47.453,0,0,0,10000,0.0,10000.0
20140121,Hold,47.071,0,0,0,10000,0.0,10000.0
20140122,Buy,55.343,180,-9966.72087,180,33.279,-4.981,9995.019
20140123,Hold,54.921,0,0,180,33.279,-80.941,9919.059
20140124,Hold,55.364,0,0,180,33.279,-1.201,9998.799
20140127,Hold,54.474,0,0,180,33.279,-161.401,9838.599
20140128,Hold,57.589,0,0,180,33.279,399.299,10399.299
20140129,Hold,58.157,0,0,180,33.279,501.539,10501.539
20140130,Hold,57.473,0,0,180,33.279,378.419,10378.419
20140131,Hold,58.843,0,0,180,33.279,625.019,10625.019
20140203,Hold,57.921,0,0,180,33.279,459.059,10459.059
20140204,Sell,57.614,-180,10365.334739999998,0,10398.614,398.614,10398.614
20140205,Hold,58.06,0,0,0,10398.614,398.614,10398.614
20140206,Buy,59.063,175,-10341.1930125,175,57.421,393.446,10393.446
20140207,Hold,61.303,0,0,175,57.421,785.446,10785.446
20140210,Hold,61.423,0,0,175,57.421,806.446,10806.446
20140211,Hold,62.111,0,0,175,57.421,926.846,10926.846
20140212,Hold,60.813,0,0,175,57.421,699.696,10699.696
20140213,Hold,62.437,0,0,175,57.421,983.896,10983.896
20140214,Hold,62.423,0,0,175,57.421,981.446,10981.446
20140218,Hold,61.667,0,0,175,57.421,849.146,10849.146
20140219,Sell,61.53,-175,10762.366125,0,10819.787,819.787,10819.787
20140220,Buy,62.671,172,-10784.801706,172,34.985,814.397,10814.397
20140221,Sell,62.21,-172,10694.769940000002,0,10729.755,729.755,10729.755
20140224,Buy,64.286,166,-10676.811738,166,52.943,724.419,10724.419
20140225,Hold,65.129,0,0,166,52.943,864.357,10864.357
20140226,Hold,63.977,0,0,166,52.943,673.125,10673.125
20140227,Hold,64.733,0,0,166,52.943,798.621,10798.621
20140228,Hold,62.944,0,0,166,52.943,501.647,10501.647
20140303,Sell,64.417,-166,10687.875389,0,10740.819,740.819,10740.819
20140304,Buy,64.856,165,-10706.590619999999,165,34.228,735.468,10735.468
20140305,Hold,64.991,0,0,165,34.228,757.743,10757.743
20140306,Hold,64.927,0,0,165,34.228,747.183,10747.183
20140307,Hold,64.071,0,0,165,34.228,605.943,10605.943
20140310,Sell,63.234,-165,10428.393195,0,10462.621,462.621,10462.621
20140311,Hold,61.954,0,0,0,10462.621,462.621,10462.621
20140312,Hold,62.816,0,0,0,10462.621,462.621,10462.621
20140313,Hold,61.104,0,0,0,10462.621,462.621,10462.621
20140314,Hold,61.17,0,0,0,10462.621,462.621,10462.621
20140317,Hold,60.339,0,0,0,10462.621,462.621,10462.621
20140318,Hold,59.981,0,0,0,10462.621,462.621,10462.621
20140319,Hold,59.953,0,0,0,10462.621,462.621,10462.621
20140320,Buy,60.871,171,-10414.1454705,171,48.476,457.417,10457.417
20140321,Sell,57.923,-171,9899.8805835,0,9948.357,-51.643,9948.357
20140324,Hold,54.143,0,0,0,9948.357,-51.643,9948.357
