,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140108,Buy,3.8048,2626,-9996.4005024,2626,3.599,-4.996,9995.004
20140109,Sell,3.7318,-2626,9794.8069466,0,9798.406,-201.594,9798.406
20140110,Hold,3.7148,0,0.0,0,9798.406,-201.594,9798.406
20140113,Hold,3.6301,0,0.0,0,9798.406,-201.594,9798.406
20140114,Hold,3.7573,0,0.0,0,9798.406,-201.594,9798.406
20140115,Buy,3.7813,2589,-9794.68059285,2589,3.726,-206.488,9793.512
20140116,Hold,3.7933,0,0.0,2589,3.726,-175.42,9824.58
20140117,Hold,3.7838,0,0.0,2589,3.726,-200.016,9799.984
20140121,Hold,3.7981,0,0.0,2589,3.726,-162.993,9837.007
20140122,Sell,3.7741,-2589,9766.25932755,0,9769.985,-230.015,9769.985
20140123,Hold,3.7411,0,0.0,0,9769.985,-230.015,9769.985
20140124,Hold,3.6746,0,0.0,0,9769.985,-230.015,9769.985
20140127,Hold,3.6444,0,0.0,0,9769.985,-230.015,9769.985
20140128,Hold,3.6674,0,0.0,0,9769.985,-230.015,9769.985
20140129,Hold,3.6721,0,0.0,0,9769.985,-230.015,9769.985
20140130,Buy,3.6606,2667,-9767.701610099999,2667,2.284,-234.896,9765.104
20140131,Hold,3.7343,0,0.0,2667,2.284,-38.338,9961.662
20140203,Sell,3.6556,-2667,9744.610457400002,0,9746.894,-253.106,9746.894
20140204,Hold,3.6531,0,0.0,0,9746.894,-253.106,9746.894
20140205,Hold,3.6511,0,0.0,0,9746.894,-253.106,9746.894
20140206,Buy,3.7034,2630,-9744.811971,2630,2.082,-257.976,9742.024
20140207,Hold,3.7433,0,0.0,2630,2.082,-153.039,9846.961
20140210,Hold,3.7813,0,0.0,2630,2.082,-53.099,9946.901
20140211,Hold,3.8492,0,0.0,2630,2.082,125.478,10125.478
20140212,Hold,4.074,0,0.0,2630,2.082,716.702,10716.702
20140213,Hold,4.062,0,0.0,2630,2.082,685.142,10685.142
20140214,Hold,4.2241,0,0.0,2630,2.082,1111.465,11111.465
20140218,Hold,4.2151,0,0.0,2630,2.082,1087.795,11087.795
20140219,Hold,4.293,0,0.0,2630,2.082,1292.672,11292.672
20140220,Hold,4.4277,0,0.0,2630,2.082,1646.933,11646.933
20140221,Hold,4.3927,0,0.0,2630,2.082,1554.883,11554.883
20140224,Hold,4.4602,0,0.0,2630,2.082,1732.408,11732.408
20140225,Hold,4.4361,0,0.0,2630,2.082,1669.025,11669.025
20140226,Hold,4.4387,0,0.0,2630,2.082,1675.863,11675.863
20140227,Sell,4.3648,-2630,11473.684288,0,11475.766,1475.766,11475.766
20140228,Hold,4.2628,0,0.0,0,11475.766,1475.766,11475.766
20140303,Hold,4.353,0,0.0,0,11475.766,1475.766,11475.766
20140304,Hold,4.3792,0,0.0,0,11475.766,1475.766,11475.766
20140305,Buy,4.4287,2589,-11471.63725215,2589,4.129,1470.033,11470.033
20140306,Sell,4.3792,-2589,11332.0799256,0,11336.209,1336.209,11336.209
20140307,Hold,4.3422,0,0.0,0,11336.209,1336.209,11336.209
20140310,Hold,4.3128,0,0.0,0,11336.209,1336.209,11336.209
20140311,Hold,4.3128,0,0.0,0,11336.209,1336.209,11336.209
20140312,Hold,4.3555,0,0.0,0,11336.209,1336.209,11336.209
20140313,Hold,4.1656,0,0.0,0,11336.209,1336.209,11336.209
20140314,Hold,4.2383,0,0.0,0,11336.209,1336.209,11336.209
20140317,Hold,4.2433,0,0.0,0,11336.209,1336.209,11336.209
20140318,Buy,4.3598,2598,-11332.423780199999,2598,3.785,1330.546,11330.546
20140319,Hold,4.3792,0,0.0,2598,3.785,1380.947,11380.947
20140320,Hold,4.4387,0,0.0,2598,3.785,1535.528,11535.528
20140321,Hold,4.4049,0,0.0,2598,3.785,1447.715,11447.715
20140324,Sell,4.4237,-2598,11487.0262137,0,11490.811,1490.811,11490.811
20140325,Hold,4.4166,0,0.0,0,11490.811,1490.811,11490.811
20140326,Hold,4.2677,0,0.0,0,11490.811,1490.811,11490.811
20140327,Hold,4.2131,0,0.0,0,11490.811,1490.811,11490.811
20140328,Hold,4.2578,0,0.0,0,11490.811,1490.811,11490.811
20140331,Hold,4.3913,0,0.0,0,11490.811,1490.811,11490.811
20140401,Buy,4.4237,2596,-11489.667162599999,2596,1.144,1485.069,11485.069
20140402,Hold,4.4049,0,0.0,2596,1.144,1436.265,11436.265
20140403,Hold,4.4671,0,0.0,2596,1.144,1597.736,11597.736
20140404,Sell,4.3082,-2596,11178.4951564,0,11179.639,1179.639,11179.639
20140407,Hold,4.3202,0,0.0,0,11179.639,1179.639,11179.639
20140408,Buy,4.5003,2482,-11175.3294723,2482,4.31,1174.055,11174.055
20140409,Hold,4.4507,0,0.0,2482,4.31,1050.947,11050.947
20140410,Sell,4.3225,-2482,10723.080777500001,0,10727.391,727.391,10727.391
20140411,Hold,4.33,0,0.0,0,10727.391,727.391,10727.391
20140414,Hold,4.3505,0,0.0,0,10727.391,727.391,10727.391
20140415,Hold,4.3985,0,0.0,0,10727.391,727.391,10727.391
20140416,Hold,4.3865,0,0.0,0,10727.391,727.391,10727.391
20140417,Buy,4.4049,2434,-10726.887363299998,2434,0.503,722.03,10722.03
20140421,Hold,4.4461,0,0.0,2434,0.503,822.311,10822.311
20140422,Hold,4.4831,0,0.0,2434,0.503,912.369,10912.369
20140423,Hold,4.5603,0,0.0,2434,0.503,1100.274,11100.274
20140424,Hold,4.5603,0,0.0,2434,0.503,1100.274,11100.274
20140425,Sell,4.4602,-2434,10850.698736600003,0,10851.202,851.202,10851.202
20140428,Hold,4.4411,0,0.0,0,10851.202,851.202,10851.202
20140429,Hold,4.4261,0,0.0,0,10851.202,851.202,10851.202
20140430,Hold,4.4487,0,0.0,0,10851.202,851.202,10851.202
20140501,Hold,4.4261,0,0.0,0,10851.202,851.202,10851.202
20140502,Hold,4.3622,0,0.0,0,10851.202,851.202,10851.202
20140505,Hold,4.4627,0,0.0,0,10851.202,851.202,10851.202
20140506,Hold,4.33,0,0.0,0,10851.202,851.202,10851.202
20140507,Hold,4.3178,0,0.0,0,10851.202,851.202,10851.202
20140508,Hold,4.2506,0,0.0,0,10851.202,851.202,10851.202
20140509,Hold,4.2985,0,0.0,0,10851.202,851.202,10851.202
20140512,Buy,4.348,2494,-10849.333956,2494,1.868,845.78,10845.78
20140513,Hold,4.3398,0,0.0,2494,1.868,825.329,10825.329
20140514,Sell,4.2842,-2494,10679.4524026,0,10681.321,681.321,10681.321
20140515,Hold,4.2842,0,0.0,0,10681.321,681.321,10681.321
20140516,Hold,4.2935,0,0.0,0,10681.321,681.321,10681.321
20140519,Buy,4.3998,2426,-10679.2517574,2426,2.069,675.984,10675.984
20140520,Hold,4.3632,0,0.0,2426,2.069,587.192,10587.192
20140521,Hold,4.3382,0,0.0,2426,2.069,526.542,10526.542
20140522,Hold,4.395,0,0.0,2426,2.069,664.339,10664.339
20140523,Hold,4.4301,0,0.0,2426,2.069,749.491,10749.491
20140527,Hold,4.5018,0,0.0,2426,2.069,923.436,10923.436
20140528,Hold,4.5236,0,0.0,2426,2.069,976.322,10976.322
20140529,Hold,4.526,0,0.0,2426,2.069,982.145,10982.145
20140530,Hold,4.543,0,0.0,2426,2.069,1023.387,11023.387
20140602,Hold,4.5236,0,0.0,2426,2.069,976.322,10976.322
20140603,Sell,4.4824,-2426,10868.8652488,0,10870.934,870.934,10870.934
20140604,Hold,4.5068,0,0.0,0,10870.934,870.934,10870.934
20140605,Hold,4.5406,0,0.0,0,10870.934,870.934,10870.934
20140606,Buy,4.5333,2396,-10867.2176934,2396,3.716,865.503,10865.503
20140609,Hold,4.526,0,0.0,2396,3.716,848.012,10848.012
20140610,Hold,4.5476,0,0.0,2396,3.716,899.766,10899.766
20140611,Hold,4.6229,0,0.0,2396,3.716,1080.185,11080.185
20140612,Hold,4.6989,0,0.0,2396,3.716,1262.281,11262.281
